years,place,lat,lon
1,LIMA,-11.0987354029536, -77.11289883206366
2,CALLAO,-12.059980231715478, -76.54278739217816
3,LORETO,-3.823067146243552, -75.01562336319046
4,MADRE DE DIOS,-11.792436683358222, -70.61873351936207
5,TUMBES,-3.574344464891801, -80.58511097412094
6,PIURA,-4.682918737389861, -80.50568683824514
7,TACNA,-17.445027276858216, -70.51061240073524
